Supplier Name, Hydrologic Region, State-mandated Conservation Standard - Previous (3/1/2016), State-mandated Conservation Standard - Current (Effective 6/1/2016), Did Supplier Self-certify?, Enforceable Cumulative Percent Savings (as compared to 2013) - June 2015-Aug 2016, June 2016 to Aug 2016 Self-certified?, Applicable Cumulative Savings by Supplier (as compared to 2013), Missed Conservation Standard By, Order Status, Monthly Savings (as compared to 2013) - Aug 2015, Monthly Savings (as compared to 2013) - Aug 2016, Estimated Aug 2016 Monthly R-GPCD, Total Population Served
California City  City of,South Lahontan,28%,28%,No,13.1%,18.0%,13.1%,14.9%,C,16.8%,20.5%,148.5,"14,120"
Yucaipa Valley Water District,South Coast,34%,20%,Yes,18.3%,7.1%,7.1%,12.9%,,26.4%,11.9%,260.0,"45,018"
Sanger  City of,Tulare Lake,26%,26%,No,17.3%,12.4%,17.3%,8.7%,,38.0%,17.2%,181.1,"25,664"
Adelanto City of,South Lahontan,16%,16%,No,9.3%,-10.3%,9.3%,6.7%,C,20.5%,-30.6%,125.5,"29,023"
Red Bluff  City of,Sacramento River,33%,33%,No,27.8%,19.5%,27.8%,5.2%,,42.4%,30.8%,202.9,"14,076"
Bellflower-Somerset Mutual Water Company,South Coast,20%,20%,Yes,18.3%,16.4%,16.4%,3.6%,,19.2%,14.1%,87.7,"46,300"
Bakman Water Company,Tulare Lake,34%,34%,No,30.7%,34.3%,30.7%,3.3%,,36.1%,35.9%,192.5,"16,756"
North Marin Water District,San Francisco Bay,24%,0%,Yes,22.7%,-2.9%,-2.9%,2.9%,,34.7%,12.9%,135.3,"61,299"
San Lorenzo Valley Water District,Central Coast,12%,18%,Yes,22.5%,15.1%,15.1%,2.9%,,23.9%,12.9%,109.5,"19,000"
Fillmore  City of,South Coast,26%,26%,No,23.4%,22.6%,23.4%,2.6%,,22.6%,20.1%,137.7,"15,222"
Humboldt Bay Municipal Water District,North Coast,4%,0%,Yes,9.0%,-2.1%,-2.1%,2.1%,A,17.3%,0.4%,107.5,602
Arcata  City of,North Coast,4%,0%,Yes,4.6%,-0.8%,-0.8%,0.8%,,1.6%,-4.3%,55.3,"18,392"
"Los Banos, City of",San Joaquin River,24%,24%,No,24.4%,21.8%,24.4%,-0.4%,,24.6%,19.9%,144.5,"37,168"
Atwater  City of,San Joaquin River,33%,33%,No,33.6%,22.3%,33.6%,-0.6%,,32.9%,11.4%,264.4,"29,500"
Pico Rivera  City of,South Coast,16%,16%,No,17.2%,15.7%,17.2%,-1.2%,,18.7%,15.9%,91.2,"39,002"
"Tehachapi, City of",Tulare Lake,25%,25%,No,26.4%,21.9%,26.4%,-1.4%,,19.8%,18.8%,194.8,"8,923"
Glendora  City of,South Coast,34%,20%,Yes,29.0%,21.6%,21.6%,-1.6%,,33.0%,20.0%,194.5,"51,463"
Fortuna  City of,North Coast,20%,0%,Yes,12.8%,1.7%,1.7%,-1.7%,,21.5%,9.2%,97.8,"12,032"
Brea  City of,South Coast,24%,15%,Yes,20.2%,17.2%,17.2%,-2.2%,,13.8%,6.5%,97.2,"43,328"
Turlock  City of,San Joaquin River,29%,16%,Yes,24.9%,18.2%,18.2%,-2.2%,,26.3%,15.7%,163.5,"72,050"
El Segundo  City of,South Coast,20%,2%,Yes,5.8%,4.7%,4.7%,-2.7%,A,-6.1%,6.4%,84.5,"16,654"
City of Newman Water Department,San Joaquin River,21%,21%,No,24.3%,16.1%,24.3%,-3.3%,,23.6%,13.7%,151.3,"10,668"
